X,Z
6F4,7FF
6F5,7FF
6F6,7FF
6F7,7FF
6F8,7FF
6F9,7FF
6FA,7FF
6FB,7FF
6FC,7FF
6FD,7FF
6FE,7FF
6FF,7FF
700,7FF
701,7FF
702,7FF
703,7FF
704,7FF
705,7FF
706,7FF
707,7FF
708,7FF
709,7FF
70A,7FF
70B,7FF
70C,7FF
70D,7FF
70E,7FF
70F,7FF
710,7FF
711,7FF
712,7FF
713,7FF
714,7FF
715,7FF
716,7FF
717,7FF
718,7FF
719,7FF
71A,7FF
71B,7FF
71C,7FF
71D,7FF
71E,7FF
71F,7FF
720,7FF
721,7FF
722,7FF
723,7FF
724,7FF
725,7FF
726,7FF
727,7FF
728,7FF
729,7FF
72A,7FF
72B,7FF
72C,7FF
72D,7FF
72E,7FF
72F,7FF
730,7FF
731,7FF
732,7FF
733,7FF
734,7FF
735,7FF
736,7FF
737,7FF
738,7FF
739,7FF
73A,7FF
73B,7FF
73C,7FF
73D,7FF
73E,7FF
73F,7FF
740,7FF
741,7FF
742,7FF
743,7FF
744,7FF
745,7FF
746,7FF
747,7FF
748,7FF
749,7FF
74A,7FF
74B,7FF
74C,7FF
74D,7FF
74E,7FF
74F,7FF
750,7FF
751,7FF
752,7FF
753,7FF
754,7FF
755,7FF
756,7FF
757,7FF
758,7FF
759,7FF
75A,7FF
75B,7FF
75C,7FF
75D,7FF
75E,7FF
75F,7FF
760,7FF
761,7FF
762,7FF
763,7FF
764,7FF
765,7FF
766,7FF
767,7FF
768,7FF
769,7FF
76A,7FF
76B,7FF
76C,7FF
76D,7FF
76E,7FF
76F,7FF
770,7FF
771,7FF
772,7FF
773,7FF
774,7FF
775,7FF
776,7FF
777,7FF
778,7FF
779,7FF
77A,7FF
77B,7FF
77C,7FF
77D,7FF
77E,7FF
77F,7FF
780,7FF
781,7FF
782,7FF
783,7FF
784,7FF
785,7FF
786,7FF
787,7FF
788,7FF
789,7FF
78A,7FF
78B,7FF
78C,7FF
78D,7FF
78E,7FF
78F,7FF
790,7FF
791,7FF
792,7FF
793,7FF
794,7FF
795,7FF
796,7FF
797,7FF
798,7FF
799,7FF
79A,7FF
79B,7FF
79C,7FF
79D,7FF
79E,7FF
79F,7FF
7A0,7FF
7A1,7FF
7A2,7FF
7A3,7FF
7A4,7FF
7A5,7FF
7A6,7FF
7A7,7FF
7A8,7FF
7A9,7FF
7AA,7FF
7AB,7FF
7AC,7FF
7AD,7FF
7AE,7FF
7AF,7FF
7B0,7FF
7B1,7FF
7B2,7FF
7B3,7FF
7B4,7FF
7B5,7FF
7B6,7FF
7B7,7FF
7B8,7FF
7B9,7FF
7BA,7FF
7BB,7FF
7BC,7FF
7BD,7FF
7BE,7FF
7BF,7FF
7C0,7FF
7C1,7FF
7C2,7FF
7C3,7FF
7C4,7FF
7C5,7FF
7C6,7FF
7C7,7FF
7C8,7FF
7C9,7FF
7CA,7FF
7CB,7FF
